twitId,twitContent,userName
1597283589645021185,"@csynthpop BitKeep wish every #Web3 &amp; football lover a happy weekend &amp; enjoy #FIFA2022 #WorldCup!
To celebrate t https://t.co/NNaHkoxLMi",Basitt78
1597283582241755136,"RT @ManUtd: Next up:    

#MUFC || #WorldCup",SeriousSpidey
1597283575577350144,.@AwaddRadio is also LIVE from the Midlothian location of @CapitalAleHouse this afternoon. Talking #Commanders afte https://t.co/1SOlsChsPJ,910TheFan
1597283564499832832,"RT @ManUtd: Next up:    

#MUFC || #WorldCup",dennoh79833798
1597283562775986176,"RT @cryptoJohnnn: Yo guys! #Coinstore world cup trade and win event is still on - Get up to 300,000 USDT + Lucky Airdrop

Activity ends on",SenJ40
1597283558980472832,"RT @phenixfinance: #Portugal vs #Uruguay 

 50$ #CRO+10 Boxes

   follow
Predict the winner (or draw) + use #FIFAWorldCup #Qu",goffy27584488
1597283544396574721,RT @LissaAires1: My country playing again tomorrow  Messi need to come with a vengeance   #WorldcupQatar2022 #WorldCup h,kele_gabor
1597283534166953986,Mothers pride  The Moroccan legend @AchrafHakimi  with his mother after a historic victory over Belgium  https://t.co/97t7EvD6RF,Teebi_MD
1597283531461656576,Caption this #WorldCup https://t.co/3t6heGmjHx,masato_jones
1597283531398385664,"RT @hiimpactstudios: Also make sure you FOLLOW, LIKE and COMMENT on all of our post on @hiimpactstudios @hiimpacttv
@hiimpact1021FM ",mylifemystylle
