createdAt,twitId,twitContent,userId,userName,location,retweet,like,userImg,tag,type,profile,screen_name,description,url,followers_count,friends_count,protected,listed_count,created_at,verified,statuses_count
2022-11-28 17:38:45+00:00,1597283870214586368,"@gilabola_ina BitKeep wish every #Web3 &amp; football lover a happy weekend &amp; enjoy #FIFA2022 #WorldCup!
To celebrat https://t.co/euIiC6COxt",1575757701816410112,Basitt78,,0,0,https://pbs.twimg.com/profile_images/1597275612611489793/AfMiPTjQ_normal.jpg,,,https://pbs.twimg.com/profile_images/1597275612611489793/AfMiPTjQ_normal.jpg,Basitt78,,,2,15,False,0,2022-09-30 08:01:38+00:00,False,73
2022-11-28 17:38:45+00:00,1597283869275062273,"QATAR. Une Iranienne assistant  1 match de #WorldCup vtue d'un t-shirt avec le slogan ""Women, Life, Freedom (femm https://t.co/5rFHRUuU4t",1184106601122156544,KurdeAuFeminin,,0,0,https://pbs.twimg.com/profile_images/1184108772010135552/k5fh-WSf_normal.jpg,,,https://pbs.twimg.com/profile_images/1184108772010135552/k5fh-WSf_normal.jpg,KurdeAuFeminin,"Rojava
Kurdes
Kurdistan
femmes",https://t.co/Yp07TNdE8x,697,75,False,4,2019-10-15 14:02:02+00:00,False,17321
2022-11-28 17:38:44+00:00,1597283864606834688,"RT @chitaglorya3rd: 25,000,000 #BIB #Token Prize Pool for you to Win!
 
#BIBMeta is having a #WorldCup Championship Tournament Prediction 2",1330727116552368129,jnbestie23,kwangya,6692,0,https://pbs.twimg.com/profile_images/1546571355558031361/ngrRUGMn_normal.jpg,,,https://pbs.twimg.com/profile_images/1546571355558031361/ngrRUGMn_normal.jpg,jnbestie23,akun ikutan giveaway • bigwin pliz,,97,1929,False,2,2020-11-23 04:17:36+00:00,False,16693
2022-11-28 17:38:43+00:00,1597283863952515072,"RT @OnsOranje: Matchday 3 incoming! 

#NothingLikeOranje #WorldCup https://t.co/DAu7NSGPWZ",268906659,Parinceo,Bremen,107,0,https://pbs.twimg.com/profile_images/1571207219160518664/6ou_yuk6_normal.jpg,,,https://pbs.twimg.com/profile_images/1571207219160518664/6ou_yuk6_normal.jpg,Parinceo,"Thailändischer Borusse in Bremen// NUR DER BVB!! SC Freiburg vor!! Tweet in Thai, English and (manchmal) Deutsch ทวิตนี้ไว้ติ่ง Indie is life",https://t.co/ghRUN6BhtI,209,337,False,9,2011-03-19 18:23:16+00:00,False,21352
2022-11-28 17:38:39+00:00,1597283845526937601,"RT @BlueLagoon_Spa: #MondayFunday 
@MariaBlueLagoon
AVAIL TILL 4AM
1616 Matheson Blvd E #Mississauga
4166277243 https://t.co/HTr6VFEiF",861762274427416578,CourtesanCanada,"Vancouver, British Columbia 🇨🇦",6,0,https://pbs.twimg.com/profile_images/986807808191426560/rcXF4vEy_normal.jpg,,,https://pbs.twimg.com/profile_images/986807808191426560/rcXF4vEy_normal.jpg,CourtesanCanada,https://t.co/veyYsLPbv4 is a FREE Community site for #Escort Ads #AdultAds #Escorts #Courtesans & people in #Canada's #Adult  #Entertainment industry! 🇨🇦😀18+,https://t.co/sB9G7sXqcj,3224,1167,False,16,2017-05-09 01:58:31+00:00,False,14357
2022-11-28 17:38:39+00:00,1597283845195591680,RT @smutoro: No African team may ever win a #WorldCup in our lifetime. But beautiful Rwanda's Salima Mukansanga has won. She is the first A,1566731156,DadyWandera,"Nairobi,Kenya ",6,0,https://pbs.twimg.com/profile_images/378800000083849290/84b130c95533001751d749504720fa4f_normal.jpeg,,,https://pbs.twimg.com/profile_images/378800000083849290/84b130c95533001751d749504720fa4f_normal.jpeg,DadyWandera,What's this,http://t.co/26BZKRNa2b,739,5000,False,0,2013-07-03 21:30:18+00:00,False,18033
2022-11-28 17:38:38+00:00,1597283840367554560,"@Laeeb2022 X @QodaFinance 

#DeFi #Qoda #crypto #WorldCup https://t.co/6i6TuZfVPm",1504888228146343936,0xazZAIS,"Bogor Barat, Indonesia",0,1,https://pbs.twimg.com/profile_images/1595132150747013120/OIfg0VjP_normal.jpg,,,https://pbs.twimg.com/profile_images/1595132150747013120/OIfg0VjP_normal.jpg,0xazZAIS,"NFT Collector | web3 | DeFi | All About Cryptocurrency #SuiGlobalHunter #zkApes

https://t.co/1MATBOb9QG",https://t.co/l9LsHzyqqs,1928,1718,False,2,2022-03-18 18:31:35+00:00,False,2756
2022-11-28 17:38:38+00:00,1597283839378096129,RT @1xBet_Eng: What has been your favourite game of the #WorldCup so far? https://t.co/beDiuvb65J,783827031100420097,rutie_xx,"Abuja, Nigeria",132,0,https://pbs.twimg.com/profile_images/1570105980431499269/1ItHjzUB_normal.jpg,,,https://pbs.twimg.com/profile_images/1570105980431499269/1ItHjzUB_normal.jpg,rutie_xx,Aspiring to live life to the fullest • DM for adverts & promotions.,https://t.co/17YfX4dDsl,391889,1468,False,130,2016-10-06 00:31:41+00:00,False,98379
2022-11-28 17:38:34+00:00,1597283824056307712,"RT @KurdistanAu: QATAR. Une Iranienne assistant  1 match de #WorldCup vtue d'un t-shirt avec le slogan ""Women, Life, Freedom (femme, vie,",1184106601122156544,KurdeAuFeminin,,21,0,https://pbs.twimg.com/profile_images/1184108772010135552/k5fh-WSf_normal.jpg,,,https://pbs.twimg.com/profile_images/1184108772010135552/k5fh-WSf_normal.jpg,KurdeAuFeminin,"Rojava
Kurdes
Kurdistan
femmes",https://t.co/Yp07TNdE8x,697,75,False,4,2019-10-15 14:02:02+00:00,False,17321
2022-11-28 17:38:30+00:00,1597283807132254208,Never forget Kobes cameo in Nikes legendary 2014 Winner Stays ad. #Nike #NikeFootball #KobeBryant #WorldCup https://t.co/QPSinV3fyC,1568639921119809536,ballaboard,,0,0,https://pbs.twimg.com/profile_images/1568646112122118144/78068PxV_normal.jpg,,,https://pbs.twimg.com/profile_images/1568646112122118144/78068PxV_normal.jpg,ballaboard,Driving basketball culture forward.,,26,242,False,0,2022-09-10 16:38:51+00:00,False,194
